OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
57091,,071000081504,,Roberts Creek,Camp Creek,,,Humboldt,Humboldt city,,
57093,,070600051102,,Drainage Ditch 48,Elk River,,,Hardy,Hardy city,,
57097,,070600051203,,Bailey Creek,Deer Creek-Mississippi River,,,Dakota City,Dakota City city,,
57098,,070801010603,,Minerva Creek,Coal Creek-Mississippi River,,,Bradgate,Bradgate city,,
57101,,070801060501,,Upper Lizard Creek,Coal Creek,,,Bode,Bode city,,
57103,,070802051104,,Headwaters Pilot Creek,Mud Creek,,,Swan,Swan city,,
57104,,070802080502,,Howard Creek,Headwaters Salt Creek,,,Pleasantville,Pleasantville city,,
57111,,070801050901,,Lower West Fork Crooked Creek,Walnut Creek,,,Pella,Pella city,,
57112,,070801060101,,West Indian Creek,Snipe Creek,,,Melcher-Dallas,Melcher-Dallas city,,
57113,,071000020602,,Rock Creek-Maquoketa River,Prairie Creek,,,Marysville,Marysville city,,
57115,,070801020302,,Fannys Branch-North Raccoon River,Middle East Branch Wapsipinicon River,,,Knoxville,Knoxville city,,
57116,,070802040101,,Brush Creek,Headwaters Bailey Creek,,,Harvey,Harvey city,,
57117,,071000040302,,Joint Drainage Ditch No 146,Middle Lizard Creek,,,Hamilton,Hamilton city,,
57118,,071000040103,,Otter Creek,Middle North Branch Lizard Creek,,,Bussey,Bussey city,,
57119,,070802080501,,Little Eagle Creek,South Branch Salt Creek,,,What Cheer,What Cheer city,,
57120,,070802081007,,Crooked Creek,Hoosier Creek,,,Webster,Webster city,,
57121,,070802040602,,Headwaters White Fox Creek,Boylan Creek,,,Thornburg,Thornburg city,,
57122,,070802011203,,Drainage Ditch 25-North Raccoon River,Village of Plainfield-Cedar River,,,South English,South English city,,
57123,,070802011202,,Upper Duck Creek,Horton Creek,,,Thompson,Thompson city,,
57125,,071000050101,,Penn Creek,Drainage Ditch 117,,,Scarville,Scarville city,,
57127,,070600040401,,Drainage Ditch 20-Cedar Creek,Silver Creek,,,Rake,Rake city,,
